Doctor_Name,specialization,avg_rate,clinic_location,Category,general_location,Unnamed: 0,latitude_exact,longitude_exact,latitude_general,longitude_general,latitude,longitude
Hassan El-Masry,Internist,4.5,El-Zagazig,Others,El-Zagazig,51.0,30.5950402,31.5125611,30.5886074,31.4819297,30.5950402,31.5125611
Dina El-Sherif,Ophthalmologist,4.5,"El-Maadi , 153","Eye, Ear and Nose","El-Maadi , 153",,,,,,,
Ibrahim Kamel,Gynecologist,4.5,"6th of October , the central axis",Urinary and Reproductive,"6th of October , the central axis",,,,,,,
Tamer El-Sayed,Internist,4.5,"El-Mandara , Mohamed Hassanin Hiekel",Others,"El-Mandara , Mohamed Hassanin Hiekel",,,,,,,
Heba El-Amin,Internist,5.0,"Smouha , Victor Ammanuel St.",Others,"Smouha , Victor Ammanuel St.",,,,,,,
Nadia El-Gendy,Physiotherapist,4.0,"El-Maadi , 9",Musculoskeletal,"El-Maadi , 9",,,,,,,
Sami El-Sherif,Cardiologist,4.5,"El-Maadi , Horreya Square",Cardiovascular,"El-Maadi , Horreya Square",,,,,,,
Mostafa Kamel,Gastroenterologist,4.5,"Sidy Gaber , Portsaif",Gastrointestinal and Liver,"Sidy Gaber , Portsaif",,,,,,,
Heba Hussein,Neurologist,4.0,"El-Haram , Terat Al Zomir Street",Neurological and Psychiatric,"El-Haram , Terat Al Zomir Street",,,,,,,
Mostafa El-Khatib,ENT Doctor,4.5,El-Maadi,"Eye, Ear and Nose",El-Maadi,50.0,36.6117091,4.6680878,36.6117091,4.6680878,36.6117091,4.6680878
Salma Kamel,Orthopedist,4.5,Ain Shams,Musculoskeletal,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
Mona Nasser,Dermatologist,4.5,"6th of October , elmahwar el markazi",Skin,"6th of October , elmahwar el markazi",,,,,,,
Fatma Mansour,Orthopedist,5.0,"Sidy Gaber , Elhoreia",Musculoskeletal,"Sidy Gaber , Elhoreia",,,,,,,
Mariam El-Khatib,Gynecologist,4.5,"El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone",Urinary and Reproductive,"El-Sheikh Zayed , Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone",,,,,,,
Dina El-Khatib,Rheumatologist,4.0,"El-Haram ,  Abo emera street",Musculoskeletal,"El-Haram ,  Abo emera street",,,,,,,
Fatma El-Khatib,Pulmonologist,4.5,"El-Haram , Al Haram street -",Respiratory,"El-Haram , Al Haram street -",,,,,,,
Amr Ibrahim,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Rania Gaber,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Heba Hassan,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Adel Farouk,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Sami Mansour,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Nader Mostafa,Dentist,5.0,"Nasr City , Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant",Others,"Nasr City , Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant",,,,,,,
Rania El-Sherbiny,Dentist,4.5,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",Others,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",,,,,,,
Sami Nasser,Dentist,4.5,"Nasr City , Abu Dawood Al-Zahery",Others,"Nasr City , Abu Dawood Al-Zahery",,,,,,,
Nader Abdelrahman,Dentist,5.0,"New Cairo , North",Others,"New Cairo , North",,,,,,,
Fatma Khalil,Psychiatrist,4.0,"El-Mansoura , Hussein bek street in front of family regulation office",Neurological and Psychiatric,"El-Mansoura , Hussein bek street in front of family regulation office",,,,,,,
Youssef El-Kassas,Internist,4.5,"6th of October , nagda square",Others,"6th of October , nagda square",,,,,,,
Nader El-Din,Urologist,4.5,"El Minya City , Elgomhorya street",Urinary and Reproductive,"El Minya City , Elgomhorya street",,,,,,,
Sami El-Sayed,Gynecologist,5.0,"El-Sheikh Zayed , Twin Towers, 26 July Corridor",Urinary and Reproductive,"El-Sheikh Zayed , Twin Towers, 26 July Corridor",,,,,,,
Adel El-Shennawy,Andrologist,4.5,"Assiut city , Al Helaly",Urinary and Reproductive,"Assiut city , Al Helaly",,,,,,,
Amr El-Gohary,Cardiologist,4.5,"El-Haram , Al Haram street",Cardiovascular,"El-Haram , Al Haram street",,,,,,,
Rami Hussein,Nutritionist,4.5,"10 Mohamed Awad st, branched from Makram Ebeid",Others,"10 Mohamed Awad st, branched from Makram Ebeid",,,,,,,
Fatma El-Naggar,Cardiothoracic Surgeon,4.5,"El-Mansoura , gehan st",Cardiovascular,"El-Mansoura , gehan st",,,,,,,
Adel El-Khatib,Dentist,4.5,"El-Mokattam , central Street, from 9 street",Others,"El-Mokattam , central Street, from 9 street",,,,,,,
Omar Abdelrahman,Cardiologist,4.5,"New Cairo , Next to Al baraka Mall",Cardiovascular,"New Cairo , Next to Al baraka Mall",,,,,,,
Walid El-Mahdy,Vascular Surgeon,4.5,"El-Ibrahimia , portsaid",Musculoskeletal,"El-Ibrahimia , portsaid",,,,,,,
Salim Mahmoud,Physiotherapist,4.0,"Helwan , mohamed sayed ahmed street with rayel street",Musculoskeletal,"Helwan , mohamed sayed ahmed street with rayel street",,,,,,,
Noha El-Gendy,Pediatrician,4.5,Ain Shams,Others,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
Noha Zaki,Pediatric Surgeon,4.5,"El-Ibrahimia , port Said",Urinary and Reproductive,"El-Ibrahimia , port Said",,,,,,,
Sara El-Sherif,Internist,4.0,"El-Abbasia , sergany st-abdo basha",Others,"El-Abbasia , sergany st-abdo basha",,,,,,,
Youssef El-Shennawy,Internist,4.5,"El-Mohandessin , El Kawser street",Others,"El-Mohandessin , El Kawser street",,,,,,,
Nour Fahmy,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Yasmin Hussein,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Jamal Farouk,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Mahmoud El-Baz,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Mahmoud Shalaby,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Walid El-Sherif,Internist,4.0,"El-Sheikh Zayed , -Badr Eldeen Mall",Others,"El-Sheikh Zayed , -Badr Eldeen Mall",,,,,,,
Adel El-Saied,Dentist,4.5,"El-Zaitoun , selem el awl",Others,"El-Zaitoun , selem el awl",,,,,,,
Ibrahim El-Mahdy,Gynecologist,4.0,"Shoubra ,  Al Taraa Al Bolaqiea",Urinary and Reproductive,"Shoubra ,  Al Taraa Al Bolaqiea",,,,,,,
Mahmoud El-Din,ENT Doctor,4.0,"Heliopolis , gesr suez","Eye, Ear and Nose","Heliopolis , gesr suez",,,,,,,
Mohamed El-Gohary,Dentist,4.5,"Tanta , Saad Zaghlool square-loaloa Tanta Tower-Above eltwheed w elnoor",Others,"Tanta , Saad Zaghlool square-loaloa Tanta Tower-Above eltwheed w elnoor",,,,,,,
Hassan Youssef,ENT Doctor,4.5,"6th of October , Prima-vista medical center","Eye, Ear and Nose","6th of October , Prima-vista medical center",,,,,,,
Dina Gaber,Neurologist,4.5,"El-Dokki , El Tahrir St.",Neurological and Psychiatric,"El-Dokki , El Tahrir St.",,,,,,,
Hani Saeed,Ophthalmologist,4.5,"Heliopolis , Aboubakr Elsedik street-Safeer Square-Above ezz Eldeen pharmacy","Eye, Ear and Nose","Heliopolis , Aboubakr Elsedik street-Safeer Square-Above ezz Eldeen pharmacy",,,,,,,
Walid Taha,Gynecologist,4.0,"El-Haram , El talateny elgded of ezz el din omar",Urinary and Reproductive,"El-Haram , El talateny elgded of ezz el din omar",,,,,,,
Heba Salah,Dentist,4.5,"El-Mokattam ,  Al Eman Mosque",Others,"El-Mokattam ,  Al Eman Mosque",,,,,,,
Noha El-Kassas,Gynecologist,4.5,"Sidy Bishr , Gamal abelnasser st.",Urinary and Reproductive,"Sidy Bishr , Gamal abelnasser st.",,,,,,,
Nader El-Kassas,Dentist,4.0,"El-Sheikh Zayed , Twin Towers-Damas Dental Center",Others,"El-Sheikh Zayed , Twin Towers-Damas Dental Center",,,,,,,
Bassam El-Gohary,Cardiologist,4.5,"Assiut city , Youssry Ragheb St.",Cardiovascular,"Assiut city , Youssry Ragheb St.",,,,,,,
Sara El-Sherbiny,Internist,4.5,El Minya City,Others,El Minya City,309.0,28.0893325,30.7570623,28.0893325,30.7570623,28.0893325,30.7570623
Ahmed Khalil,Dentist,4.5,"Hadayek El-Ahram , Ahmed Bedeer",Others,"Hadayek El-Ahram , Ahmed Bedeer",,,,,,,
Rami El-Hadidy,Nutritionist,4.5,"Helwan , riad",Others,"Helwan , riad",,,,,,,
Fatma Samir,Nutritionist,4.0,"Helwan , mouhamed sayed ahmed street/rayel stret",Others,"Helwan , mouhamed sayed ahmed street/rayel stret",,,,,,,
Yasmin El-Gendy,Physiotherapist,4.5,"Faisal , el arabeen elmaskeen",Musculoskeletal,"Faisal , el arabeen elmaskeen",,,,,,,
Nader El-Shazly,Dentist,4.5,"El-Maadi , street 108",Others,"El-Maadi , street 108",,,,,,,
Amira El-Baz,Physiotherapist,4.0,"West El-Balad , Adly",Musculoskeletal,"West El-Balad , Adly",,,,,,,
Nadia Nasser,Physiotherapist,5.0,"Heliopolis , abu bakr el sedeek saffir sqaure",Musculoskeletal,"Heliopolis , abu bakr el sedeek saffir sqaure",,,,,,,
Firas Hassan,Gynecologist,4.0,"Hadayek El-Ahram , zen",Urinary and Reproductive,"Hadayek El-Ahram , zen",,,,,,,
Rania Ibrahim,Plastic Surgeon,4.0,"El-Ibrahimia , abokeir road",Musculoskeletal,"El-Ibrahimia , abokeir road",,,,,,,
Salma Nasser,Dermatologist,4.0,"Heliopolis , El Khalifa El Mamoun street",Skin,"Heliopolis , El Khalifa El Mamoun street",,,,,,,
Nadia Samir,General Surgeon,4.5,Faisal,Musculoskeletal,Faisal,75.0,30.0978834,32.4856496,30.0978834,32.4856496,30.0978834,32.4856496
Aya Youssef,Internist,4.0,Heliopolis,Others,Heliopolis,114.0,-10.6753416,-38.2815308,-10.6753416,-38.2815308,-10.6753416,-38.2815308
Tamer El-Gendy,Pediatrician,4.5,Ain Shams,Others,Ain Shams,244.0,30.1304761,31.3167491,30.1304761,31.3167491,30.1304761,31.3167491
Noha El-Amin,Internist,4.758470894874023,Beverly Hills,Others,Beverly Hills,275.0,34.0696501,-118.3963062,,,34.0696501,-118.3963062
Mariam El-Mahdy,Physiotherapist,4.0,"Helwan , mohamed sayed ahmed street with rayel street",Musculoskeletal,"Helwan , mohamed sayed ahmed street with rayel street",,,,,,,
Nadia El-Mahdy,Internist,4.0,"El-Abbasia , sergany st-abdo basha",Others,"El-Abbasia , sergany st-abdo basha",,,,,,,
Dina Zaki,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Jamal El-Saied,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Adel El-Amin,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Hani Taha,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Nour El-Sherbiny,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Adel El-Gendy,Dentist,4.5,"El-Manyal , Manial Museum Street",Others,"El-Manyal , Manial Museum Street",,,,,,,
Laila Abdallah,Dentist,4.5,"El-Haram , Ezz El-Deen Omar Arish station Behind misr Bank",Others,"El-Haram , Ezz El-Deen Omar Arish station Behind misr Bank",,,,,,,
Fady Shalaby,Dentist,4.5,"El-Sheikh Zayed , Beverly Hills-gate 9",Others,"El-Sheikh Zayed , Beverly Hills-gate 9",,,,,,,
Firas Mostafa,Dentist,4.5,"Nasr City , Makram Abeid",Others,"Nasr City , Makram Abeid",,,,,,,
Hassan El-Din,Dentist,4.5,"El-Shorouk , grand mall third east expansions",Others,"El-Shorouk , grand mall third east expansions",,,,,,,
Salma El-Naggar,General Surgeon,4.5,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Rami Shalaby,Dentist,4.5,"El-Shorouk , main road (Gate 1 ismallia road)",Others,"El-Shorouk , main road (Gate 1 ismallia road)",,,,,,,
Mostafa El-Gendy,Surgical Oncologist,5.0,"El-Maadi , EL Laselky street-beside Moamen square",Gastrointestinal and Liver,"El-Maadi , EL Laselky street-beside Moamen square",,,,,,,
Ibrahim Salah,Dentist,4.5,"Nasr City , abo dawood zahry",Others,"Nasr City , abo dawood zahry",,,,,,,
Bassam El-Baz,Gynecologist,5.0,"El-Dokki , El Tahrir st.",Urinary and Reproductive,"El-Dokki , El Tahrir st.",,,,,,,
Ahmed El-Shazly,Dentist,5.0,"Heliopolis , othman ibn affan- Ismailia square",Others,"Heliopolis , othman ibn affan- Ismailia square",,,,,,,
Rania El-Kassas,Dentist,5.0,"El-Sheikh Zayed , elshabab",Others,"El-Sheikh Zayed , elshabab",,,,,,,
Amr El-Baz,Gynecologist,4.0,"Hadayek El-Kobba , Elgrash",Urinary and Reproductive,"Hadayek El-Kobba , Elgrash",,,,,,,
Sara Mahmoud,Internist,4.5,"El-Mansoura , Al seka algdeda",Others,"El-Mansoura , Al seka algdeda",,,,,,,
Sara Zaki,Orthopedist,4.5,"Imbaba , Main wehda street",Musculoskeletal,"Imbaba , Main wehda street",,,,,,,
Walid Samir,Nutritionist,5.0,El-Sheikh Zayed,Others,El-Sheikh Zayed,204.0,30.048347,30.9832235,30.048347,30.9832235,30.048347,30.9832235
Mahmoud Hussein,ENT Doctor,4.0,"Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club","Eye, Ear and Nose","Ain Shams , 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",,,,,,,
Rami El-Baz,Pulmonologist,4.0,"6th of October , 7th distric, 1st neigborhood",Respiratory,"6th of October , 7th distric, 1st neigborhood",,,,,,,
Ali Nasser,Dentist,4.5,"Faisal , hassan mohamed station-Feisal",Others,"Faisal , hassan mohamed station-Feisal",,,,,,,
Dina Khalil,Internist,5.0,"Faisal , King Faisal street",Others,"Faisal , King Faisal street",,,,,,,
Ibrahim El-Kassas,Physiotherapist,4.5,"Hadayek El-Ahram , District G First Gate",Musculoskeletal,"Hadayek El-Ahram , District G First Gate",,,,,,,
Heba Samir,Dentist,4.5,"El-Rehab , Medical Center 3 clinic 209",Others,"El-Rehab , Medical Center 3 clinic 209",,,,,,,
Rami Farouk,Dentist,4.5,"El-Maadi , 233",Others,"El-Maadi , 233",,,,,,,
Fady El-Mahdy,Ophthalmologist,5.0,"New Cairo , Mostafa kamel","Eye, Ear and Nose","New Cairo , Mostafa kamel",,,,,,,
Reem El-Shennawy,Dentist,4.5,"Mahalla , Al Fareek Reda Hafez st.",Others,"Mahalla , Al Fareek Reda Hafez st.",,,,,,,
Ahmed El-Hadidy,Orthopedist,4.5,"El-Haram , khatam Al Morsalen Street",Musculoskeletal,"El-Haram , khatam Al Morsalen Street",,,,,,,
Zein Hassan,Vascular Surgeon,4.0,"Bakos , elhelal nady str",Musculoskeletal,"Bakos , elhelal nady str",,,,,,,
Salim Fahmy,Gynecologist,4.0,"El-Dokki , El Tahrir street",Urinary and Reproductive,"El-Dokki , El Tahrir street",,,,,,,
Fady Salah,Dentist,4.5,"New Cairo , medical park 1",Others,"New Cairo , medical park 1",,,,,,,
Yasmin Farouk,Dentist,4.5,"El-Sheikh Zayed , Downtown mall",Others,"El-Sheikh Zayed , Downtown mall",,,,,,,
Reem Gaber,ENT Doctor,4.5,"6th of October , Prima-vista medical center","Eye, Ear and Nose","6th of October , Prima-vista medical center",,,,,,,
Jamal Samir,Dentist,5.0,"Nasr City , Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant",Others,"Nasr City , Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant",,,,,,,
Amira Shalaby,Internist,4.0,"El-Sheikh Zayed , -Badr Eldeen Mall",Others,"El-Sheikh Zayed , -Badr Eldeen Mall",,,,,,,
Mona El-Masry,Physiotherapist,4.5,Helwan,Musculoskeletal,Helwan,77.0,29.8500001,31.333333,29.8500001,31.333333,29.8500001,31.333333
Bassam El-Sherif,Neurologist,4.5,"El-Dokki , El Tahrir St.",Neurological and Psychiatric,"El-Dokki , El Tahrir St.",,,,,,,
Bassam El-Kassas,Pediatrician,5.0,"El-Badrashin , Athar Saqara",Others,"El-Badrashin , Athar Saqara",,,,,,,
Rami Abdallah,General Surgeon,5.0,"El-Agamy , Alex Matrouh Road-Abo Youssef-Besides Elsaberen Mosque",Musculoskeletal,"El-Agamy , Alex Matrouh Road-Abo Youssef-Besides Elsaberen Mosque",,,,,,,
Mostafa Mansour,Ophthalmologist,5.0,"Banha , Saad Zaghloul Street - Anani Tower","Eye, Ear and Nose","Banha , Saad Zaghloul Street - Anani Tower",,,,,,,
Amr Zaki,Phoniatrician,5.0,"El-Shorouk , Al shorouk","Eye, Ear and Nose","El-Shorouk , Al shorouk",,,,,,,
Ibrahim El-Din,Gynecologist,5.0,"Assiut city , thabet Street",Urinary and Reproductive,"Assiut city , thabet Street",,,,,,,
Jamal Fathy,Pulmonologist,5.0,"El-Mansoura , Gehan",Respiratory,"El-Mansoura , Gehan",,,,,,,
Amr El-Din,Ophthalmologist,5.0,"El-Amreya , Elamreya","Eye, Ear and Nose","El-Amreya , Elamreya",,,,,,,
Aya Abdallah,Pulmonologist,5.0,"El-Zagazig , Salah salem Clinics,,Salah Salem St",Respiratory,"El-Zagazig , Salah salem Clinics,,Salah Salem St",,,,,,,
Mariam El-Hadidy,Nutritionist,5.0,"Nasr City , nasr st",Others,"Nasr City , nasr st",,,,,,,
Heba Farouk,Vascular Surgeon,5.0,"Hadayek El-Kobba , misr wa alsudan",Musculoskeletal,"Hadayek El-Kobba , misr wa alsudan",,,,,,,
Khaled Mahmoud,Nutritionist,5.0,"Shibin El-Kom , Abdelkhalek Street from Assem Hama Street",Others,"Shibin El-Kom , Abdelkhalek Street from Assem Hama Street",,,,,,,
Aya Farouk,Pediatrician,5.0,"El-Mansoura , Elgendy Tower fromGehan El Sadat Street",Others,"El-Mansoura , Elgendy Tower fromGehan El Sadat Street",,,,,,,
Dina Youssef,Pediatrician,5.0,"Damanhur , abd elsalam el shazly",Others,"Damanhur , abd elsalam el shazly",,,,,,,
Mostafa El-Masry,Rheumatologist,5.0,"Nasr City ,  Elnozha st.",Musculoskeletal,"Nasr City ,  Elnozha st.",,,,,,,
Omar Fahmy,Gynecologist,5.0,"El-Maadi , Kornish Maadi street",Urinary and Reproductive,"El-Maadi , Kornish Maadi street",,,,,,,
Aya Mostafa,Obesity Surgeon,5.0,"Heliopolis , Hassan Sadek from elmarghany street",Urinary and Reproductive,"Heliopolis , Hassan Sadek from elmarghany street",,,,,,,
Jamal Abdallah,Oncologist,5.0,"Tanta , The intersection of Al Bahr Street with Al Khan",Others,"Tanta , The intersection of Al Bahr Street with Al Khan",,,,,,,
Mohamed Saeed,Dentist,5.0,"Shoubra , Solwans St from Shoubra st - menyt elserg",Others,"Shoubra , Solwans St from Shoubra st - menyt elserg",,,,,,,
Amira El-Hadidy,Gynecologist,5.0,"El-Rehab , The Fount Mall North investors",Urinary and Reproductive,"El-Rehab , The Fount Mall North investors",,,,,,,
Mohamed El-Sherif,Plastic Surgeon,5.0,"Stanley , El- Gaish Roaf",Musculoskeletal,"Stanley , El- Gaish Roaf",,,,,,,
Salim Taha,Gynecologist,5.0,"Smouha ,  Fawzy Moaz",Urinary and Reproductive,"Smouha ,  Fawzy Moaz",,,,,,,
Mona El-Hadidy,Plastic Surgeon,5.0,"Hadayek El-Kobba , lotfy el sayed",Musculoskeletal,"Hadayek El-Kobba , lotfy el sayed",,,,,,,
Mohamed Hassan,Dentist,5.0,"Bahary , safr basha",Others,"Bahary , safr basha",,,,,,,
Ahmed El-Amin,General Surgeon,5.0,"El-Zagazig , Elmahad Eldeny street",Musculoskeletal,"El-Zagazig , Elmahad Eldeny street",,,,,,,
Mostafa Saeed,Cardiologist,5.0,"Tanta , Segar St",Cardiovascular,"Tanta , Segar St",,,,,,,
Yasmin El-Kassas,Pediatrician,5.0,"Nasr City , anwar elmofty",Others,"Nasr City , anwar elmofty",,,,,,,
Mariam El-Sherif,Gynecologist,5.0,"El-Sheikh Zayed , Khamael City-gate 4-administration gates-infront of GLOURS School",Urinary and Reproductive,"El-Sheikh Zayed , Khamael City-gate 4-administration gates-infront of GLOURS School",,,,,,,
Sara Ibrahim,Endocrinologist,5.0,"Heliopolis , Cleopatra St",Others,"Heliopolis , Cleopatra St",,,,,,,
Amira El-Shazly,Nutritionist,5.0,"Sidy Gaber , Super Jet Square Street",Others,"Sidy Gaber , Super Jet Square Street",,,,,,,
Zein Ibrahim,Orthopedist,5.0,"Roshdy , Elhoreya street-Roshdy",Musculoskeletal,"Roshdy , Elhoreya street-Roshdy",,,,,,,
Aya El-Din,Gynecologist,5.0,"Mahalla , shon",Urinary and Reproductive,"Mahalla , shon",,,,,,,
Tamer Shalaby,Gynecologist,5.0,"Mahalla , shon",Urinary and Reproductive,"Mahalla , shon",,,,,,,
Fady Samir,Nutritionist,5.0,"El-Sheikh Zayed , Elmehwar Elmarkazi",Others,"El-Sheikh Zayed , Elmehwar Elmarkazi",,,,,,,
Salma El-Gohary,Nutritionist,5.0,"El-Sheikh Zayed , Elmehwar Elmarkazi",Others,"El-Sheikh Zayed , Elmehwar Elmarkazi",,,,,,,
Aya El-Shennawy,Dentist,5.0,"Nasr City , EL Nasr ST",Others,"Nasr City , EL Nasr ST",,,,,,,
Laila El-Kassas,Dentist,5.0,"Nasr City , EL Nasr ST",Others,"Nasr City , EL Nasr ST",,,,,,,
Nadia El-Masry,Internist,5.0,"New Cairo , S. Teseen",Others,"New Cairo , S. Teseen",,,,,,,
Yasmin Gaber,Internist,5.0,"New Cairo , S. Teseen",Others,"New Cairo , S. Teseen",,,,,,,
Bassam Saeed,Cardiologist,5.0,"El-Sheikh Zayed , District 12 Courtyard zayed",Cardiovascular,"El-Sheikh Zayed , District 12 Courtyard zayed",,,,,,,
Khaled El-Gendy,Gynecologist,5.0,"El-Mansoura , Elnour Tower-Salah Salem Street-Talkha",Urinary and Reproductive,"El-Mansoura , Elnour Tower-Salah Salem Street-Talkha",,,,,,,
Rania El-Kholy,Ophthalmologist,5.0,"El-Shorouk , Panorama Mall Street","Eye, Ear and Nose","El-Shorouk , Panorama Mall Street",,,,,,,
Sara Saeed,Ophthalmologist,5.0,"El-Shorouk , Panorama Mall Street","Eye, Ear and Nose","El-Shorouk , Panorama Mall Street",,,,,,,
Amira Saeed,General Surgeon,5.0,"Shibin El-Kom , gamal abdelnaser bahary street",Musculoskeletal,"Shibin El-Kom , gamal abdelnaser bahary street",,,,,,,
Hassan Fahmy,General Surgeon,5.0,"Shibin El-Kom , gamal abdelnaser bahary street",Musculoskeletal,"Shibin El-Kom , gamal abdelnaser bahary street",,,,,,,
Noha El-Din,Orthopedist,5.0,"Nasr City , Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office",Musculoskeletal,"Nasr City , Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office",,,,,,,
Salma Ibrahim,Orthopedist,5.0,"Nasr City , Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office",Musculoskeletal,"Nasr City , Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office",,,,,,,
Yasmin Abdelrahman,Nutritionist,5.0,"Birket El Sabea , western side",Others,"Birket El Sabea , western side",,,,,,,
Sara El-Khatib,Nutritionist,5.0,"Birket El Sabea , western side",Others,"Birket El Sabea , western side",,,,,,,
Sara Khalil,Pediatric Surgeon,5.0,"El-Haram , Al Haram street In front of Gad",Urinary and Reproductive,"El-Haram , Al Haram street In front of Gad",,,,,,,
Nadia Ibrahim,Pediatric Surgeon,5.0,"El-Haram , Al Haram street In front of Gad",Urinary and Reproductive,"El-Haram , Al Haram street In front of Gad",,,,,,,
Laila Zaki,Plastic Surgeon,5.0,"New Cairo , North Teseen",Musculoskeletal,"New Cairo , North Teseen",,,,,,,
Nader Abdallah,Gynecologist,5.0,"Nasr City , Ibn el nafees street",Urinary and Reproductive,"Nasr City , Ibn el nafees street",,,,,,,
Adel El-Din,Cardiologist,5.0,"Faisal , faisal street",Cardiovascular,"Faisal , faisal street",,,,,,,
Heba Shalaby,Gynecologist,5.0,"Boulaq El Dakrour , Mohamed Ibrahim Street-At the intersection of nahya street",Urinary and Reproductive,"Boulaq El Dakrour , Mohamed Ibrahim Street-At the intersection of nahya street",,,,,,,
Nadia El-Sherbiny,Oncologist,5.0,"El-Mansoura , hussen bek street",Others,"El-Mansoura , hussen bek street",,,,,,,
Hani Farouk,Gynecologist,5.0,"Smouha , Bahaa Eldin Elghatwary Street-",Urinary and Reproductive,"Smouha , Bahaa Eldin Elghatwary Street-",,,,,,,
Amr El-Shazly,Dentist,5.0,"6th of October , Prima Vista Medical-Elmehwar Elmarkazi",Others,"6th of October , Prima Vista Medical-Elmehwar Elmarkazi",,,,,,,
Ahmed Gaber,Dentist,5.0,"Nasr City , EL Nasr ST",Others,"Nasr City , EL Nasr ST",,,,,,,
Ibrahim Fahmy,Pediatrician,5.0,"Shibin Al Qanater , Old Labor Office Street",Others,"Shibin Al Qanater , Old Labor Office Street",,,,,,,
Tamer Farouk,Orthopedist,5.0,"Mahalla , El Bahr.Alshoun",Musculoskeletal,"Mahalla , El Bahr.Alshoun",,,,,,,
Ibrahim El-Sherif,Gastroenterologist,5.0,"Heliopolis , Nehro,Heliopolis",Gastrointestinal and Liver,"Heliopolis , Nehro,Heliopolis",,,,,,,
Salim Salah,Physiotherapist,5.0,"Nasr City ,  Metwally elsharawy",Musculoskeletal,"Nasr City ,  Metwally elsharawy",,,,,,,
Nour El-Kholy,Ophthalmologist,5.0,"El-Mansoura , streert beside El Adeeb street","Eye, Ear and Nose","El-Mansoura , streert beside El Adeeb street",,,,,,,
Yasmin El-Hadidy,Dentist,5.0,"Smouha , el Nasr street",Others,"Smouha , el Nasr street",,,,,,,
